Cd,Added Weight,Laptime
0.0,-50.0,161.96674835501457
0.2,-50.0,162.10318269266727
0.4,-50.0,162.18956856761432
0.6,-50.0,162.85626646355743
0.8,-50.0,163.49326155878384
1.0,-50.0,164.18970124236068
1.1,-50.0,164.593277836982
1.2,-50.0,165.01711079999328
1.3,-50.0,165.46088827469353
1.4,-50.0,165.79802672099663
1.5,-50.0,166.28522349559873
1.6,-50.0,166.7822747357752
0.0,-40.0,162.15171867287205
0.2,-40.0,162.30597658349382
0.4,-40.0,162.45907835719638
0.6,-40.0,163.06994545573826
0.8,-40.0,163.70513825361434
1.0,-40.0,164.41799718230467
1.1,-40.0,164.68846662790557
1.2,-40.0,165.09901136029924
1.3,-40.0,165.5323165719846
1.4,-40.0,165.98471000423746
1.5,-40.0,166.48072692776165
1.6,-40.0,166.952946100329
0.0,-30.0,162.35668606433654
0.2,-30.0,162.538059602316
0.4,-30.0,162.87641160134055
0.6,-30.0,163.3727052468174
0.8,-30.0,163.84088999459544
1.0,-30.0,164.53009875409742
1.1,-30.0,164.91059145652846
1.2,-30.0,165.34471286239378
1.3,-30.0,165.75118881267434
1.4,-30.0,166.1917447446208
1.5,-30.0,166.62794763013974
1.6,-30.0,167.0368763082195
0.0,-20.0,162.60289738054257
0.2,-20.0,162.8547641618029
0.4,-20.0,163.2161485052821
0.6,-20.0,163.50496872355913
0.8,-20.0,164.085263613003
1.0,-20.0,164.79450384191233
1.1,-20.0,165.14964866131703
1.2,-20.0,165.54100869839075
1.3,-20.0,165.73259450746724
1.4,-20.0,166.08424093345994
1.5,-20.0,166.54274596316986
1.6,-20.0,166.99596242695165
0.0,-10.0,162.78889888519916
0.2,-10.0,163.03504039341342
0.4,-10.0,163.3757166676294
0.6,-10.0,163.79775533581306
0.8,-10.0,164.35391403322888
1.0,-10.0,164.79749362279466
1.1,-10.0,165.08250061767896
1.2,-10.0,165.46125057924
1.3,-10.0,165.87587901516486
1.4,-10.0,166.28861798333105
1.5,-10.0,166.6570210379835
1.6,-10.0,167.07577740608508
0.0,0.0,163.0848567516566
0.2,0.0,163.3155912398236
0.4,0.0,163.63439853983
0.6,0.0,163.84644985747295
0.8,0.0,164.3105405977121
1.0,0.0,164.95504423025398
1.1,0.0,165.30441363189885
1.2,0.0,165.9274757576741
1.3,0.0,166.26738478762454
1.4,0.0,166.63395732703884
1.5,0.0,167.0573444028012
1.6,0.0,167.19471152544273
0.0,10.0,163.38337305592944
0.2,10.0,163.5783003626258
0.4,10.0,163.59538102146553
0.6,10.0,164.02309357596656
0.8,10.0,164.56288766012605
1.0,10.0,165.17860632608097
1.1,10.0,165.47466205149155
1.2,10.0,165.78825691320444
1.3,10.0,166.1593348797434
1.4,10.0,166.7930863542013
1.5,10.0,167.18200230669208
1.6,10.0,167.61018399593374
0.0,20.0,163.72365954769887
0.2,20.0,163.97375136539065
0.4,20.0,163.92239303904816
0.6,20.0,164.3173271231334
0.8,20.0,164.99121442561844
1.0,20.0,165.33064235519444
1.1,20.0,165.640871779124
1.2,20.0,165.9867875658797
1.3,20.0,166.32764655091933
1.4,20.0,166.7046960039506
1.5,20.0,166.9681327781479
1.6,20.0,167.64746192835133
