Cl,Added Weight,Laptime
-0.4,-50.0,174.01330784662758
0,-50.0,172.7745902121894
0.4,-50.0,171.58417071204835
0.8,-50.0,170.48260153845726
1.2,-50.0,169.4159391541219
1.6,-50.0,168.33429546599746
2,-50.0,167.204623562621
2.4,-50.0,166.25891151263764
2.6,-50.0,165.92147731253363
2.8,-50.0,165.4469585880683
3.0,-50.0,165.01711079999328
3.2,-50.0,164.50115087055383
3.4,-50.0,164.04869376755593
3.6,-50.0,163.48745604311807
3.8,-50.0,162.80206043174095
4.0,-50.0,162.33969331647822
-0.4,-40.0,173.99772401382683
0,-40.0,172.7735019738444
0.4,-40.0,171.65342853944554
0.8,-40.0,170.5438177170578
1.2,-40.0,169.50324774206257
1.6,-40.0,168.4660581759836
2,-40.0,167.34590597680761
2.4,-40.0,166.37338754595444
2.6,-40.0,165.9052650675691
2.8,-40.0,165.65045925917212
3.0,-40.0,165.09901136029924
3.2,-40.0,164.7001970397865
3.4,-40.0,164.19062096052969
3.6,-40.0,163.72227565934332
3.8,-40.0,163.04508370276196
4.0,-40.0,162.60645707849898
-0.4,-30.0,173.99543186097253
0,-30.0,172.76553717975406
0.4,-30.0,171.8284559247198
0.8,-30.0,170.6067932357918
1.2,-30.0,169.57189462659525
1.6,-30.0,168.6645217424401
2,-30.0,167.34700014012395
2.4,-30.0,166.49010528872162
2.6,-30.0,166.08340599235345
2.8,-30.0,165.572767789819
3.0,-30.0,165.34471286239378
3.2,-30.0,164.9192124652525
3.4,-30.0,164.40621885469128
3.6,-30.0,163.85200798769952
3.8,-30.0,163.47737463182585
4.0,-30.0,162.78969521110963
-0.4,-20.0,174.00849855473612
0,-20.0,172.85024979233515
0.4,-20.0,171.69782475431484
0.8,-20.0,170.84484678097408
1.2,-20.0,169.64248144791662
1.6,-20.0,168.793714822399
2,-20.0,167.49197427798362
2.4,-20.0,166.65848394425348
2.6,-20.0,166.20779849010776
2.8,-20.0,165.77859186557703
3.0,-20.0,165.54100869839075
3.2,-20.0,165.01649608972474
3.4,-20.0,164.63729882393682
3.6,-20.0,164.13888441762543
3.8,-20.0,163.70756019464795
4.0,-20.0,163.2507893310536
-0.4,-10.0,174.01796715529957
0,-10.0,172.87994846500308
0.4,-10.0,171.63669328996482
0.8,-10.0,170.72000499815815
1.2,-10.0,169.74091369514832
1.6,-10.0,168.88865720542307
2,-10.0,167.81529459895884
2.4,-10.0,166.81060792167267
2.6,-10.0,166.34803363813904
2.8,-10.0,165.93150800578005
3.0,-10.0,165.46125057924
3.2,-10.0,165.25006615322687
3.4,-10.0,164.7377502364739
3.6,-10.0,164.38182061170198
3.8,-10.0,163.84847284855934
4.0,-10.0,163.49681650392924
-0.4,0.0,174.0342274534101
0,0.0,172.92387097875996
0.4,0.0,171.8713815054153
0.8,0.0,170.86216843637806
1.2,0.0,169.82457104275076
1.6,0.0,169.0153142504487
2,0.0,167.96531809878718
2.4,0.0,166.9920773165361
2.6,0.0,166.50960720947975
2.8,0.0,166.06211895214585
3.0,0.0,165.9274757576741
3.2,0.0,165.6317989630064
3.4,0.0,165.22279753372788
3.6,0.0,164.9157835852761
3.8,0.0,164.40773736414226
4.0,0.0,163.967952487468
-0.4,10.0,174.0658630239985
0,10.0,173.0987923390863
0.4,10.0,171.9801919164691
0.8,10.0,170.94749728125282
1.2,10.0,169.9783230652406
1.6,10.0,169.11933413822277
2,10.0,168.11939549809225
2.4,10.0,167.0366395202456
2.6,10.0,166.70394005909077
2.8,10.0,166.24174087180256
3.0,10.0,165.78825691320444
3.2,10.0,165.4061656333431
3.4,10.0,165.3911508601563
3.6,10.0,165.00399451705943
3.8,10.0,164.7350834170332
4.0,10.0,164.25469110668203
-0.4,20.0,174.10396943172609
0,20.0,173.15350795425536
0.4,20.0,172.04914037725896
0.8,20.0,171.05846677280405
1.2,20.0,170.09886568154533
1.6,20.0,169.23943749554653
2,20.0,168.4026362822939
2.4,20.0,167.2044372381504
2.6,20.0,166.7544326177983
2.8,20.0,166.42366397676167
3.0,20.0,165.9867875658797
3.2,20.0,165.5818754451302
3.4,20.0,165.22498930124667
3.6,20.0,165.01665192019718
3.8,20.0,164.57332605475827
4.0,20.0,164.5689093614477
